group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
sex=Male|race=White,9561,0.31126451208032635,0.6237841229996862,2791,3173,3412,185,0.9378360215053764,0.4818526955201215,0.062163978494623656,0.46797451374916166,0.9485682513205449,sex=Male|race=White,1.0,True
sex=Female|race=White,4385,0.11721778791334093,0.1233751425313569,327,214,3657,187,0.6361867704280155,0.05528287264272798,0.3638132295719844,0.6044362292051756,0.9513527575442248,sex=Male|race=White,0.19778499962144588,False
sex=Male|race=Black,808,0.16955445544554457,0.41336633663366334,128,206,465,9,0.9343065693430657,0.30700447093889716,0.06569343065693431,0.38323353293413176,0.9810126582278481,sex=Male|race=White,0.6626753092814311,False
sex=Female|race=Black,753,0.055776892430278883,0.055776892430278883,23,19,692,19,0.5476190476190477,0.026722925457102673,0.4523809523809524,0.5476190476190477,0.9732770745428974,sex=Male|race=White,0.08941697996745412,False
sex=Male|race=Asian-Pac-Islander,309,0.34627831715210355,0.5857605177993528,96,85,117,11,0.897196261682243,0.4207920792079208,0.102803738317757,0.5303867403314917,0.9140625,sex=Male|race=White,0.9390436469952401,True
sex=Female|race=Asian-Pac-Islander,171,0.15204678362573099,0.17543859649122806,15,15,130,11,0.5769230769230769,0.10344827586206896,0.4230769230769231,0.5,0.9219858156028369,sex=Male|race=White,0.28124889689011257,False
sex=Male|race=Amer-Indian-Eskimo,93,0.17204301075268819,0.45161290322580644,14,28,49,2,0.875,0.36363636363636365,0.125,0.3333333333333333,0.9607843137254902,sex=Male|race=White,0.7239890958655156,False
sex=Male|race=Other,89,0.2247191011235955,0.4943820224719101,20,24,45,0,1.0,0.34782608695652173,0.0,0.45454545454545453,1.0,sex=Male|race=White,0.7925530712364072,False
sex=Female|race=Amer-Indian-Eskimo,66,0.045454545454545456,0.12121212121212122,3,5,58,0,1.0,0.07936507936507936,0.0,0.375,1.0,sex=Male|race=White,0.19431741966953237,False
sex=Female|race=Other,46,0.10869565217391304,0.08695652173913043,3,1,40,2,0.6,0.024390243902439025,0.4,0.75,0.9523809523809523,sex=Male|race=White,0.1394016271542297,False
